COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
109,Arkansas,Pike County,5,33114,10165,10066
111,Arkansas,Poinsett County,5,23528,22893,22660
113,Arkansas,Polk County,5,19964,19182,19353
115,Arkansas,Pope County,5,64072,63346,63789
117,Arkansas,Prairie County,5,8062,8248,8135
119,Arkansas,Pulaski County,5,391911,399073,397821
121,Arkansas,Randolph County,5,22722,18581,18865
123,Arkansas,St. Francis County,5,24994,23046,22739
125,Arkansas,Saline County,5,122437,123681,125233
127,Arkansas,Scott County,5,10281,9811,9822
129,Arkansas,Searcy County,5,7881,7827,7880
131,Arkansas,Sebastian County,5,127827,127739,128400
133,Arkansas,Sevier County,5,17007,15778,15783
135,Arkansas,Sharp County,5,17442,17282,17622
137,Arkansas,Stone County,5,12506,12364,12481
139,Arkansas,Union County,5,38682,38925,38340
141,Arkansas,Van Buren County,5,16545,15765,15694
143,Arkansas,Washington County,5,16326,246662,250057
145,Arkansas,White County,5,78753,76810,77207
147,Arkansas,Woodruff County,5,6320,6200,6116
149,Arkansas,Yell County,5,21341,20216,20155
1,California,Alameda County,6,1671329,1679844,1648556
3,California,Alpine County,6,1129,1198,1235
5,California,Amador County,6,39752,40541,41259
7,California,Butte County,6,219186,210083,208309
9,California,Calaveras County,6,45905,45327,46221
11,California,Colusa County,6,21547,21853,21917
13,California,Contra Costa County,6,1153526,1165562,1161413
15,California,Del Norte County,6,27812,27709,28100
17,California,El Dorado County,6,192843,191114,193221
19,California,Fresno County,6,999101,1008966,1013581
21,California,Glenn County,6,28393,28893,28805
23,California,Humboldt County,6,135558,136351,136310
25,California,Imperial County,6,181215,179489,179851
27,California,Inyo County,6,18039,19023,18970
29,California,Kern County,6,900202,909997,917673
31,California,Kings County,6,152940,152627,153443
33,California,Lake County,6,64386,68174,68766
35,California,Lassen County,6,30573,32719,33159
37,California,Los Angeles County,6,10039107,9989165,9829544
39,California,Madera County,6,157327,156620,159410
41,California,Marin County,6,258826,261776,260206
43,California,Mariposa County,6,17203,17124,17147
45,California,Mendocino County,6,86749,91354,91305
47,California,Merced County,6,277680,281726,286461
49,California,Modoc County,6,8841,8658,8661
51,California,Mono County,6,14444,13206,13247
53,California,Monterey County,6,434061,438500,437325
55,California,Napa County,6,137744,137608,136207
57,California,Nevada County,6,8252,102199,103487
59,California,Orange County,6,3175692,3184101,3167809
61,California,Placer County,6,398329,405741,412300
63,California,Plumas County,6,18807,19769,19915
65,California,Riverside County,6,2470546,2422764,2458395
67,California,Sacramento County,6,1552058,1586241,1588921
69,California,San Benito County,6,62808,64507,66677
71,California,San Bernardino County,6,2180085,2182740,2194710
73,California,San Diego County,6,3338330,3297252,3286069
