countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
90,Alaska,Fairbanks North Star Borough,72894.0,71194.0,9282.0,9886.0,913.0,1115.0,913.0,1115.0,2
100,Alaska,Haines Borough,1742.0,1768.0,252.0,252.0,33.0,39.0,33.0,39.0,2
105,Alaska,Hoonah-Angoon Census Area,1293.0,1314.0,323.0,328.0,36.0,43.0,36.0,43.0,2
110,Alaska,Juneau Borough,23869.0,24370.0,3070.0,2815.0,317.0,341.0,317.0,341.0,2
122,Alaska,Kenai Peninsula Borough,40188.0,40602.0,6432.0,6611.0,598.0,700.0,598.0,700.0,2
130,Alaska,Ketchikan Gateway Borough,9892.0,9836.0,1547.0,1620.0,164.0,193.0,164.0,193.0,2
150,Alaska,Kodiak Island Borough,9189.0,9322.0,2047.0,2154.0,216.0,270.0,216.0,270.0,2
158,Alaska,Kusilvak Census Area,6478.0,6480.0,1197.0,1433.0,144.0,182.0,144.0,182.0,2
164,Alaska,Lake and Peninsula Borough,1127.0,1082.0,266.0,286.0,29.0,36.0,29.0,36.0,2
170,Alaska,Matanuska-Susitna Borough,80837.0,82524.0,11867.0,12499.0,936.0,1083.0,936.0,1083.0,2
180,Alaska,Nome Census Area,7385.0,7711.0,1533.0,1544.0,154.0,181.0,154.0,181.0,2
185,Alaska,North Slope Borough,7831.0,7496.0,1192.0,1388.0,141.0,177.0,141.0,177.0,2
188,Alaska,Northwest Arctic Borough,5681.0,5908.0,1201.0,1317.0,127.0,160.0,127.0,160.0,2
195,Alaska,Petersburg Borough,2148.0,2245.0,430.0,422.0,47.0,55.0,47.0,55.0,2
198,Alaska,Prince of Wales-Hyder Census Area,4062.0,4024.0,945.0,1049.0,96.0,124.0,96.0,124.0,2
220,Alaska,Sitka Borough,6132.0,6093.0,951.0,985.0,105.0,125.0,105.0,125.0,2
230,Alaska,Skagway Municipality,893.0,858.0,112.0,152.0,16.0,22.0,16.0,22.0,2
240,Alaska,Southeast Fairbanks Census Area,4653.0,4825.0,1044.0,1012.0,109.0,127.0,109.0,127.0,2
261,Alaska,Valdez-Cordova Census Area,6654.0,,1151.0,,129.0,,129.0,,2
275,Alaska,Wrangell City and Borough,1521.0,1537.0,344.0,353.0,39.0,45.0,39.0,45.0,2
282,Alaska,Yakutat Borough,374.0,413.0,83.0,119.0,11.0,16.0,11.0,16.0,2
290,Alaska,Yukon-Koyukuk Census Area,3466.0,3398.0,864.0,931.0,86.0,106.0,86.0,106.0,2
1,Arizona,Apache County,46566.0,49973.0,12371.0,11431.0,1208.0,1253.0,1208.0,1253.0,4
3,Arizona,Cochise County,81385.0,79759.0,10599.0,11690.0,1139.0,1441.0,1139.0,1441.0,4
5,Arizona,Coconino County,95299.0,96453.0,17084.0,17982.0,1623.0,1901.0,1623.0,1901.0,4
7,Arizona,Gila County,31746.0,32368.0,5535.0,5230.0,596.0,647.0,596.0,647.0,4
9,Arizona,Graham County,26779.0,26402.0,3591.0,4456.0,423.0,576.0,423.0,576.0,4
11,Arizona,Greenlee County,7492.0,7139.0,640.0,857.0,97.0,146.0,97.0,146.0,4
12,Arizona,La Paz County,9701.0,9826.0,2616.0,2422.0,276.0,296.0,276.0,296.0,4
13,Arizona,Maricopa County,3232790.0,3295466.0,493829.0,506323.0,12788.0,13651.0,12788.0,13651.0,4
15,Arizona,Mohave County,121716.0,122347.0,19205.0,20698.0,1842.0,2293.0,1842.0,2293.0,4
17,Arizona,Navajo County,72192.0,75165.0,15219.0,14731.0,1458.0,1533.0,1458.0,1533.0,4
19,Arizona,Pima County,703642.0,718975.0,107748.0,99835.0,6520.0,6666.0,6520.0,6666.0,4
21,Arizona,Pinal County,296573.0,307893.0,43484.0,45792.0,3660.0,4190.0,3660.0,4190.0,4
23,Arizona,Santa Cruz County,30691.0,29897.0,6241.0,7095.0,710.0,924.0,710.0,924.0,4
25,Arizona,Yavapai County,132735.0,135102.0,23125.0,21588.0,2172.0,2330.0,2172.0,2330.0,4
27,Arizona,Yuma County,132903.0,134523.0,28673.0,28360.0,2671.0,2802.0,2671.0,2802.0,4
1,Arkansas,Arkansas County,12346.0,12317.0,1338.0,1100.0,173.0,165.0,173.0,165.0,5
3,Arkansas,Ashley County,13569.0,13184.0,1710.0,1529.0,209.0,212.0,209.0,212.0,5
5,Arkansas,Baxter County,25735.0,25998.0,2924.0,2705.0,349.0,378.0,349.0,378.0,5
7,Arkansas,Benton County,214607.0,226741.0,26888.0,25236.0,2163.0,2380.0,2163.0,2380.0,5
9,Arkansas,Boone County,26399.0,26184.0,2919.0,3020.0,360.0,425.0,360.0,425.0,5
11,Arkansas,Bradley County,7385.0,7187.0,1114.0,1053.0,137.0,148.0,137.0,148.0,5
13,Arkansas,Calhoun County,3492.0,3353.0,372.0,384.0,49.0,58.0,49.0,58.0,5
15,Arkansas,Carroll County,18109.0,18063.0,3225.0,3037.0,372.0,416.0,372.0,416.0,5
17,Arkansas,Chicot County,6503.0,6160.0,678.0,556.0,86.0,88.0,86.0,88.0,5
19,Arkansas,Clark County,14152.0,13683.0,1471.0,1510.0,203.0,243.0,203.0,243.0,5
21,Arkansas,Clay County,10051.0,9945.0,1131.0,1065.0,145.0,155.0,145.0,155.0,5
23,Arkansas,Cleburne County,16056.0,16249.0,1897.0,1538.0,224.0,229.0,224.0,229.0,5
25,Arkansas,Cleveland County,5682.0,5640.0,550.0,534.0,74.0,81.0,74.0,81.0,5
27,Arkansas,Columbia County,15562.0,15151.0,1678.0,1637.0,227.0,256.0,227.0,256.0,5
29,Arkansas,Conway County,14926.0,15126.0,1603.0,1357.0,198.0,203.0,198.0,203.0,5
31,Arkansas,Craighead County,82055.0,83680.0,9347.0,8495.0,1063.0,1145.0,1063.0,1145.0,5
33,Arkansas,Crawford County,46177.0,45540.0,5805.0,6217.0,649.0,793.0,649.0,793.0,5
35,Arkansas,Crittenden County,35901.0,34761.0,3647.0,3445.0,464.0,484.0,464.0,484.0,5
37,Arkansas,Cross County,11764.0,11504.0,1269.0,1168.0,164.0,175.0,164.0,175.0,5
39,Arkansas,Dallas County,4490.0,4165.0,433.0,466.0,59.0,70.0,59.0,70.0,5
41,Arkansas,Desha County,7943.0,7590.0,973.0,896.0,124.0,134.0,124.0,134.0,5
43,Arkansas,Drew County,12843.0,12550.0,1222.0,1257.0,166.0,201.0,166.0,201.0,5
45,Arkansas,Faulkner County,96013.0,97222.0,9860.0,8994.0,1125.0,1195.0,1125.0,1195.0,5
47,Arkansas,Franklin County,12522.0,12661.0,1518.0,1422.0,187.0,216.0,187.0,216.0,5
49,Arkansas,Fulton County,8035.0,8100.0,1061.0,807.0,136.0,127.0,136.0,127.0,5
51,Arkansas,Garland County,65084.0,65886.0,8848.0,7524.0,966.0,989.0,966.0,989.0,5
53,Arkansas,Grant County,13709.0,13796.0,1128.0,1151.0,148.0,178.0,148.0,178.0,5
55,Arkansas,Greene County,34279.0,34407.0,3253.0,3071.0,402.0,444.0,402.0,444.0,5
57,Arkansas,Hempstead County,15034.0,14665.0,2170.0,1878.0,256.0,264.0,256.0,264.0,5
59,Arkansas,Hot Spring County,22595.0,22533.0,2291.0,2192.0,296.0,328.0,296.0,328.0,5
61,Arkansas,Howard County,9257.0,9213.0,1392.0,1162.0,171.0,166.0,171.0,166.0,5
63,Arkansas,Independence County,27229.0,26964.0,3028.0,2970.0,363.0,439.0,363.0,439.0,5
65,Arkansas,Izard County,8175.0,8368.0,991.0,767.0,120.0,118.0,120.0,118.0,5
67,Arkansas,Jackson County,10361.0,10242.0,1080.0,980.0,140.0,156.0,140.0,156.0,5
69,Arkansas,Jefferson County,45165.0,42631.0,3927.0,3627.0,483.0,524.0,483.0,524.0,5
71,Arkansas,Johnson County,18283.0,18444.0,2990.0,2642.0,337.0,371.0,337.0,371.0,5
73,Arkansas,Lafayette County,4272.0,4174.0,583.0,555.0,73.0,83.0,73.0,83.0,5
75,Arkansas,Lawrence County,11491.0,11428.0,1110.0,1123.0,140.0,171.0,140.0,171.0,5
77,Arkansas,Lee County,4780.0,4512.0,494.0,388.0,63.0,59.0,63.0,59.0,5
79,Arkansas,Lincoln County,6743.0,6708.0,745.0,622.0,96.0,98.0,96.0,98.0,5
81,Arkansas,Little River County,8669.0,8566.0,925.0,806.0,122.0,126.0,122.0,126.0,5
83,Arkansas,Logan County,15027.0,15086.0,1683.0,1481.0,203.0,228.0,203.0,228.0,5
85,Arkansas,Lonoke County,57960.0,58176.0,5225.0,5026.0,620.0,687.0,620.0,687.0,5
87,Arkansas,Madison County,11330.0,11628.0,1918.0,1544.0,223.0,227.0,223.0,227.0,5
89,Arkansas,Marion County,10421.0,10573.0,1275.0,1131.0,163.0,171.0,163.0,171.0,5
91,Arkansas,Miller County,31238.0,30838.0,3224.0,3115.0,411.0,450.0,411.0,450.0,5
93,Arkansas,Mississippi County,30252.0,29042.0,3156.0,3199.0,400.0,458.0,400.0,458.0,5
95,Arkansas,Monroe County,4477.0,4335.0,474.0,425.0,62.0,67.0,62.0,67.0,5
97,Arkansas,Montgomery County,5495.0,5546.0,973.0,845.0,113.0,121.0,113.0,121.0,5
99,Arkansas,Nevada County,5842.0,5626.0,542.0,497.0,74.0,83.0,74.0,83.0,5
101,Arkansas,Newton County,5013.0,5009.0,567.0,414.0,75.0,69.0,75.0,69.0,5
103,Arkansas,Ouachita County,16538.0,15974.0,1547.0,1479.0,203.0,226.0,203.0,226.0,5
105,Arkansas,Perry County,7433.0,7300.0,809.0,762.0,104.0,116.0,104.0,116.0,5
107,Arkansas,Phillips County,12581.0,11810.0,1245.0,1052.0,168.0,166.0,168.0,166.0,5
109,Arkansas,Pike County,7181.0,7222.0,1174.0,967.0,142.0,134.0,142.0,134.0,5
111,Arkansas,Poinsett County,16796.0,16854.0,2010.0,1597.0,246.0,238.0,246.0,238.0,5
113,Arkansas,Polk County,12830.0,12886.0,2220.0,1888.0,255.0,262.0,255.0,262.0,5
115,Arkansas,Pope County,44517.0,44901.0,6019.0,5421.0,714.0,723.0,714.0,723.0,5
117,Arkansas,Prairie County,5463.0,5314.0,582.0,585.0,75.0,89.0,75.0,89.0,5
119,Arkansas,Pulaski County,289389.0,284513.0,31959.0,31894.0,2782.0,3055.0,2782.0,3055.0,5
121,Arkansas,Randolph County,12486.0,12840.0,1641.0,1492.0,206.0,225.0,206.0,225.0,5
125,Arkansas,Saline County,91525.0,93495.0,8511.0,7480.0,935.0,989.0,935.0,989.0,5
