county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Edwards County, KS",47,KS,Edwards County,1811.0,1761.0,355.0,338.0,38.0,42.0,38.0,42.0,20
"Elk County, KS",49,KS,Elk County,1470.0,1539.0,288.0,230.0,33.0,33.0,33.0,33.0,20
"Ellis County, KS",51,KS,Ellis County,20793.0,20899.0,2333.0,2215.0,302.0,326.0,302.0,326.0,20
"Ellsworth County, KS",53,KS,Ellsworth County,3539.0,3445.0,369.0,411.0,47.0,57.0,47.0,57.0,20
"Finney County, KS",55,KS,Finney County,25926.0,25496.0,5443.0,5380.0,514.0,579.0,514.0,579.0,20
"Ford County, KS",57,KS,Ford County,23578.0,22860.0,5301.0,5387.0,503.0,580.0,503.0,580.0,20
"Franklin County, KS",59,KS,Franklin County,18857.0,18735.0,1867.0,1983.0,218.0,267.0,218.0,267.0,20
"Geary County, KS",61,KS,Geary County,25443.0,25621.0,2249.0,2530.0,326.0,442.0,326.0,442.0,20
"Gove County, KS",63,KS,Gove County,1646.0,1757.0,318.0,201.0,38.0,29.0,38.0,29.0,20
"Graham County, KS",65,KS,Graham County,1534.0,1539.0,226.0,189.0,28.0,28.0,28.0,28.0,20
"Grant County, KS",67,KS,Grant County,5010.0,4875.0,1005.0,1045.0,105.0,126.0,105.0,126.0,20
"Gray County, KS",69,KS,Gray County,4130.0,3897.0,896.0,1039.0,92.0,121.0,92.0,121.0,20
"Greeley County, KS",71,KS,Greeley County,847.0,810.0,133.0,142.0,16.0,19.0,16.0,19.0,20
"Greenwood County, KS",73,KS,Greenwood County,3882.0,3762.0,495.0,471.0,60.0,68.0,60.0,68.0,20
"Hamilton County, KS",75,KS,Hamilton County,1668.0,1585.0,455.0,447.0,48.0,52.0,48.0,52.0,20
"Harper County, KS",77,KS,Harper County,3460.0,3459.0,634.0,550.0,70.0,76.0,70.0,76.0,20
