,County,Sites
1902,"Beaufort County, SC",45
1903,"Berkeley County, SC",42
1904,"Calhoun County, SC",1
1905,"Charleston County, SC",111
1906,"Cherokee County, SC",11
1907,"Chester County, SC",8
1908,"Chesterfield County, SC",14
1909,"Clarendon County, SC",7
1910,"Colleton County, SC",10
1911,"Darlington County, SC",15
1912,"Dillon County, SC",8
1913,"Dorchester County, SC",31
1914,"Edgefield County, SC",4
1915,"Fairfield County, SC",3
1916,"Florence County, SC",49
1917,"Georgetown County, SC",21
1918,"Greenville County, SC",111
1919,"Greenwood County, SC",20
1920,"Hampton County, SC",5
1921,"Horry County, SC",88
1922,"Jasper County, SC",7
1923,"Kershaw County, SC",6
1924,"Lancaster County, SC",19
1925,"Laurens County, SC",11
1926,"Lee County, SC",5
1927,"Lexington County, SC",58
1928,"Marion County, SC",12
1929,"Marlboro County, SC",7
1930,"McCormick County, SC",4
1931,"Newberry County, SC",10
1932,"Oconee County, SC",20
1933,"Orangeburg County, SC",17
1934,"Pickens County, SC",31
1935,"Richland County, SC",83
1936,"Saluda County, SC",5
1937,"Spartanburg County, SC",61
1938,"Sumter County, SC",17
1939,"Union County, SC",11
1940,"Williamsburg County, SC",12
1941,"York County, SC",50
1942,"Aurora County, SD",1
1943,"Beadle County, SD",5
1944,"Bennett County, SD",2
1945,"Brookings County, SD",2
1946,"Brown County, SD",2
1947,"Brule County, SD",1
1948,"Buffalo County, SD",1
1949,"Butte County, SD",3
1950,"Clark County, SD",1
1951,"Clay County, SD",2
1952,"Codington County, SD",1
1953,"Corson County, SD",1
1954,"Custer County, SD",1
1955,"Davison County, SD",4
1956,"Dewey County, SD",2
1957,"Fall River County, SD",1
1958,"Hamlin County, SD",1
1959,"Harding County, SD",1
1960,"Hughes County, SD",2
1961,"Jackson County, SD",1
1962,"Jerauld County, SD",2
1963,"Kingsbury County, SD",3
1964,"Lake County, SD",1
1965,"Lawrence County, SD",4
1966,"Lincoln County, SD",1
1967,"Meade County, SD",2
1968,"Mellette County, SD",1
1969,"Miner County, SD",1
1970,"Minnehaha County, SD",8
1971,"Pennington County, SD",8
1972,"Perkins County, SD",1
1973,"Roberts County, SD",1
1974,"Sanborn County, SD",1
1975,"Todd County, SD",1
1976,"Turner County, SD",1
1977,"Union County, SD",2
1978,"Walworth County, SD",1
1979,"Yankton County, SD",2
1980,"Anderson County, TN",7
1981,"Bedford County, TN",4
1982,"Benton County, TN",1
1983,"Blount County, TN",12
1984,"Bradley County, TN",13
1985,"Campbell County, TN",5
1986,"Cannon County, TN",1
1987,"Carroll County, TN",3
1988,"Carter County, TN",6
1989,"Cheatham County, TN",1
1990,"Claiborne County, TN",5
1991,"Clay County, TN",1
1992,"Cocke County, TN",8
1993,"Coffee County, TN",8
1994,"Cumberland County, TN",2
1995,"Davidson County, TN",95
1996,"DeKalb County, TN",2
1997,"Dickson County, TN",2
1998,"Dyer County, TN",3
1999,"Fayette County, TN",2
2000,"Fentress County, TN",2
2001,"Franklin County, TN",3
2002,"Gibson County, TN",7
2003,"Giles County, TN",3
2004,"Grainger County, TN",4
2005,"Greene County, TN",9
2006,"Hamblen County, TN",12
2007,"Hamilton County, TN",64
2008,"Hancock County, TN",2
2009,"Hardeman County, TN",1
2010,"Hardin County, TN",10
2011,"Hawkins County, TN",9
2012,"Haywood County, TN",2
2013,"Henderson County, TN",3
2014,"Henry County, TN",4
2015,"Hickman County, TN",1
2016,"Humphreys County, TN",1
2017,"Jefferson County, TN",4
2018,"Johnson County, TN",3
2019,"Knox County, TN",75
2020,"Lauderdale County, TN",2
2021,"Lawrence County, TN",3
2022,"Lewis County, TN",2
2023,"Lincoln County, TN",3
2024,"Loudon County, TN",5
2025,"Macon County, TN",2
2026,"Madison County, TN",13
2027,"Marion County, TN",3
2028,"Marshall County, TN",7
2029,"Maury County, TN",11
2030,"McMinn County, TN",8
2031,"McNairy County, TN",6
2032,"Monroe County, TN",8
2033,"Montgomery County, TN",17
2034,"Morgan County, TN",2
2035,"Obion County, TN",3
2036,"Overton County, TN",1
2037,"Putnam County, TN",10
2038,"Rhea County, TN",3
2039,"Roane County, TN",4
2040,"Robertson County, TN",6
2041,"Rutherford County, TN",34
2042,"Scott County, TN",6
2043,"Sequatchie County, TN",2
2044,"Sevier County, TN",16
2045,"Shelby County, TN",84
2046,"Smith County, TN",1
2047,"Sullivan County, TN",25
2048,"Sumner County, TN",16
2049,"Tipton County, TN",3
2050,"Trousdale County, TN",1
2051,"Unicoi County, TN",4
2052,"Union County, TN",1
2053,"Van Buren County, TN",1
2054,"Warren County, TN",4
2055,"Washington County, TN",20
2056,"Wayne County, TN",3
2057,"Weakley County, TN",3
2058,"White County, TN",2
2059,"Williamson County, TN",38
2060,"Wilson County, TN",11
2061,"Anderson County, TX",6
2062,"Andrews County, TX",1
2063,"Angelina County, TX",10
2064,"Aransas County, TX",6
2065,"Archer County, TX",2
2066,"Atascosa County, TX",4
2067,"Austin County, TX",5
2068,"Bailey County, TX",4
2069,"Bandera County, TX",2
2070,"Bastrop County, TX",11
2071,"Baylor County, TX",3
2072,"Bee County, TX",5
2073,"Bell County, TX",23
2074,"Bexar County, TX",181
2075,"Bosque County, TX",1
2076,"Bowie County, TX",13
2077,"Brazoria County, TX",48
2078,"Brazos County, TX",32
2079,"Brewster County, TX",1
2080,"Brooks County, TX",2
2081,"Brown County, TX",6
2082,"Burleson County, TX",1
2083,"Burnet County, TX",9
2084,"Caldwell County, TX",6
2085,"Calhoun County, TX",6
2086,"Callahan County, TX",3
2087,"Cameron County, TX",38
2088,"Camp County, TX",1
2089,"Carson County, TX",1
2090,"Cass County, TX",4
2091,"Castro County, TX",1
2092,"Chambers County, TX",5
2093,"Cherokee County, TX",7
2094,"Childress County, TX",4
2095,"Clay County, TX",2
2096,"Cochran County, TX",1
2097,"Coleman County, TX",3
2098,"Collin County, TX",109
2099,"Collingsworth County, TX",2
2100,"Colorado County, TX",1
2101,"Comal County, TX",20
2102,"Comanche County, TX",1
2103,"Cooke County, TX",5
2104,"Coryell County, TX",6
2105,"Crane County, TX",1
2106,"Dallam County, TX",1
2107,"Dallas County, TX",237
2108,"Dawson County, TX",2
2109,"Deaf Smith County, TX",3
2110,"Denton County, TX",77
2111,"DeWitt County, TX",2
2112,"Dimmit County, TX",5
2113,"Duval County, TX",2
2114,"Eastland County, TX",3
2115,"Ector County, TX",16
2116,"El Paso County, TX",64
2117,"Ellis County, TX",18
2118,"Erath County, TX",5
2119,"Falls County, TX",2
2120,"Fannin County, TX",3
2121,"Fayette County, TX",2
2122,"Fisher County, TX",1
2123,"Floyd County, TX",1
2124,"Fort Bend County, TX",87
2125,"Franklin County, TX",3
2126,"Freestone County, TX",2
2127,"Frio County, TX",2
2128,"Gaines County, TX",1
2129,"Galveston County, TX",42
2130,"Gillespie County, TX",4
2131,"Gonzales County, TX",2
2132,"Gray County, TX",3
2133,"Grayson County, TX",22
2134,"Gregg County, TX",25
2135,"Grimes County, TX",2
2136,"Guadalupe County, TX",10
2137,"Hale County, TX",5
2138,"Hansford County, TX",2
2139,"Hardeman County, TX",2
2140,"Hardin County, TX",8
2141,"Harris County, TX",451
2142,"Harrison County, TX",5
2143,"Hartley County, TX",1
2144,"Haskell County, TX",2
2145,"Hays County, TX",22
2146,"Hemphill County, TX",2
2147,"Henderson County, TX",15
2148,"Hidalgo County, TX",69
2149,"Hill County, TX",4
2150,"Hockley County, TX",5
2151,"Hood County, TX",4
2152,"Hopkins County, TX",5
2153,"Houston County, TX",5
2154,"Howard County, TX",4
2155,"Hunt County, TX",8
2156,"Hutchinson County, TX",3
2157,"Jack County, TX",1
2158,"Jackson County, TX",2
2159,"Jasper County, TX",5
2160,"Jeff Davis County, TX",1
2161,"Jefferson County, TX",27
2162,"Jim Wells County, TX",4
2163,"Johnson County, TX",20
2164,"Jones County, TX",1
2165,"Karnes County, TX",4
2166,"Kaufman County, TX",12
2167,"Kendall County, TX",5
2168,"Kerr County, TX",9
2169,"Kimble County, TX",1
2170,"Kleberg County, TX",5
2171,"Knox County, TX",1
2172,"La Salle County, TX",1
2173,"Lamar County, TX",8
2174,"Lamb County, TX",1
2175,"Lampasas County, TX",2
2176,"Lavaca County, TX",1
2177,"Leon County, TX",1
2178,"Liberty County, TX",8
2179,"Limestone County, TX",5
2180,"Llano County, TX",1
2181,"Lubbock County, TX",34
2182,"Madison County, TX",1
2183,"Martin County, TX",1
2184,"Matagorda County, TX",5
2185,"Maverick County, TX",5
2186,"McCulloch County, TX",2
2187,"McLennan County, TX",27
2188,"Medina County, TX",1
2189,"Midland County, TX",11
2190,"Milam County, TX",3
2191,"Mills County, TX",1
2192,"Mitchell County, TX",1
2193,"Montague County, TX",2
2194,"Montgomery County, TX",61
2195,"Moore County, TX",2
2196,"Morris County, TX",1
2197,"Nacogdoches County, TX",5
2198,"Navarro County, TX",6
2199,"Newton County, TX",2
2200,"Nolan County, TX",3
2201,"Nueces County, TX",38
2202,"Ochiltree County, TX",4
2203,"Orange County, TX",10
2204,"Palo Pinto County, TX",3
2205,"Panola County, TX",2
2206,"Parker County, TX",15
2207,"Parmer County, TX",2
2208,"Pecos County, TX",2
2209,"Polk County, TX",4
2210,"Potter County, TX",17
2211,"Presidio County, TX",1
2212,"Rains County, TX",1
2213,"Randall County, TX",11
2214,"Reagan County, TX",1
2215,"Red River County, TX",2
2216,"Reeves County, TX",2
2217,"Robertson County, TX",3
2218,"Rockwall County, TX",11
2219,"Runnels County, TX",3
2220,"Rusk County, TX",6
2221,"Sabine County, TX",1
2222,"San Augustine County, TX",2
2223,"San Jacinto County, TX",3
2224,"San Patricio County, TX",9
2225,"San Saba County, TX",1
2226,"Schleicher County, TX",1
2227,"Scurry County, TX",2
2228,"Shelby County, TX",4
2229,"Smith County, TX",28
2230,"Starr County, TX",4
2231,"Stephens County, TX",1
2232,"Stonewall County, TX",1
2233,"Swisher County, TX",1
2234,"Tarrant County, TX",207
2235,"Taylor County, TX",13
2236,"Terry County, TX",4
2237,"Titus County, TX",4
2238,"Tom Green County, TX",9
2239,"Travis County, TX",115
2240,"Trinity County, TX",3
2241,"Tyler County, TX",2
2242,"Upshur County, TX",1
2243,"Upton County, TX",2
2244,"Uvalde County, TX",3
2245,"Val Verde County, TX",4
2246,"Van Zandt County, TX",8
2247,"Victoria County, TX",9
2248,"Walker County, TX",9
2249,"Waller County, TX",4
2250,"Ward County, TX",2
2251,"Washington County, TX",5
2252,"Webb County, TX",22
2253,"Wharton County, TX",5
2254,"Wheeler County, TX",2
2255,"Wichita County, TX",18
2256,"Wilbarger County, TX",7
2257,"Willacy County, TX",1
2258,"Williamson County, TX",53
2259,"Wilson County, TX",8
2260,"Wise County, TX",6
2261,"Wood County, TX",7
2262,"Young County, TX",3
2263,"Zapata County, TX",2
2264,"Zavala County, TX",1
2265,"Beaver County, UT",1
2266,"Box Elder County, UT",2
2267,"Cache County, UT",7
2268,"Carbon County, UT",3
2269,"Davis County, UT",24
2270,"Duchesne County, UT",1
2271,"Emery County, UT",1
2272,"Garfield County, UT",1
2273,"Grand County, UT",2
2274,"Iron County, UT",4
2275,"Kane County, UT",1
2276,"Salt Lake County, UT",58
2277,"Sanpete County, UT",1
2278,"Sevier County, UT",1
2279,"Summit County, UT",3
2280,"Tooele County, UT",3
2281,"Uintah County, UT",3
2282,"Utah County, UT",24
2283,"Wasatch County, UT",3
2284,"Washington County, UT",12
2285,"Weber County, UT",14
2286,"Accomack County, VA",2
2287,"Albemarle County, VA",9
2288,"Alexandria city, VA",14
2289,"Alleghany County, VA",2
2290,"Amherst County, VA",2
2291,"Appomattox County, VA",2
2292,"Arlington County, VA",19
2293,"Augusta County, VA",2
2294,"Bedford County, VA",5
2295,"Bedford city, VA",5
2296,"Botetourt County, VA",2
2297,"Bristol city, VA",2
2298,"Buchanan County, VA",1
2299,"Buena Vista city, VA",1
2300,"Campbell County, VA",4
2301,"Caroline County, VA",1
2302,"Carroll County, VA",1
2303,"Charlotte County, VA",1
2304,"Charlottesville city, VA",7
2305,"Chesapeake city, VA",14
2306,"Chesterfield County, VA",35
2307,"Colonial Heights city, VA",6
2308,"Covington city, VA",1
2309,"Culpeper County, VA",4
2310,"Danville city, VA",7
2311,"Dickenson County, VA",2
2312,"Dinwiddie County, VA",1
2313,"Emporia city, VA",1
2314,"Essex County, VA",1
2315,"Fairfax County, VA",78
2316,"Fairfax city, VA",78
2317,"Falls Church city, VA",2
2318,"Fauquier County, VA",4
2319,"Floyd County, VA",1
2320,"Fluvanna County, VA",2
2321,"Franklin County, VA",7
2322,"Franklin city, VA",7
2323,"Frederick County, VA",5
2324,"Fredericksburg city, VA",3
2325,"Galax city, VA",2
2326,"Giles County, VA",2
2327,"Gloucester County, VA",1
2328,"Greene County, VA",1
2329,"Halifax County, VA",2
2330,"Hampton city, VA",11
2331,"Hanover County, VA",9
2332,"Harrisonburg city, VA",7
2333,"Henrico County, VA",45
2334,"Henry County, VA",5
2335,"Hopewell city, VA",3
2336,"Isle of Wight County, VA",4
2337,"James City County, VA",5
2338,"King George County, VA",1
2339,"Lancaster County, VA",2
2340,"Lee County, VA",1
2341,"Lexington city, VA",2
2342,"Loudoun County, VA",19
2343,"Louisa County, VA",1
2344,"Lynchburg city, VA",10
2345,"Manassas city, VA",3
2346,"Martinsville city, VA",3
2347,"Mecklenburg County, VA",3
2348,"Middlesex County, VA",1
2349,"Montgomery County, VA",8
2350,"Nelson County, VA",1
2351,"New Kent County, VA",1
2352,"Newport News city, VA",12
2353,"Norfolk city, VA",16
2354,"Northampton County, VA",2
2355,"Northumberland County, VA",1
2356,"Norton city, VA",1
2357,"Orange County, VA",2
2358,"Page County, VA",1
2359,"Patrick County, VA",2
2360,"Petersburg city, VA",2
2361,"Pittsylvania County, VA",1
2362,"Poquoson city, VA",1
2363,"Portsmouth city, VA",7
2364,"Prince Edward County, VA",2
2365,"Prince William County, VA",23
2366,"Pulaski County, VA",5
2367,"Radford city, VA",1
2368,"Richmond County, VA",18
2369,"Richmond city, VA",18
2370,"Roanoke County, VA",21
2371,"Roanoke city, VA",21
2372,"Rockingham County, VA",2
2373,"Russell County, VA",1
2374,"Salem city, VA",6
2375,"Scott County, VA",3
2376,"Shenandoah County, VA",3
2377,"Smyth County, VA",3
2378,"Spotsylvania County, VA",13
2379,"Stafford County, VA",8
2380,"Staunton city, VA",4
2381,"Suffolk city, VA",8
2382,"Tazewell County, VA",4
2383,"Virginia Beach city, VA",41
2384,"Warren County, VA",2
2385,"Washington County, VA",4
2386,"Waynesboro city, VA",4
2387,"Westmoreland County, VA",1
2388,"Williamsburg city, VA",2
2389,"Winchester city, VA",5
2390,"Wise County, VA",3
2391,"Wythe County, VA",2
2392,"York County, VA",5
2393,"Addison County, VT",3
2394,"Bennington County, VT",2
2395,"Caledonia County, VT",3
2396,"Chittenden County, VT",21
2397,"Franklin County, VT",1
2398,"Grand Isle County, VT",1
2399,"Lamoille County, VT",3
2400,"Orange County, VT",2
2401,"Orleans County, VT",3
2402,"Rutland County, VT",4
2403,"Washington County, VT",6
2404,"Windham County, VT",2
2405,"Island County, WA",6
2406,"Adams County, WA",4
2407,"Asotin County, WA",3
2408,"Benton County, WA",18
2409,"Chelan County, WA",11
2410,"Clallam County, WA",10
2411,"Clark County, WA",53
2412,"Columbia County, WA",1
2413,"Cowlitz County, WA",18
2414,"Douglas County, WA",3
2415,"Ferry County, WA",1
2416,"Franklin County, WA",3
2417,"Grant County, WA",11
2418,"Grays Harbor County, WA",11
2419,"Jefferson County, WA",2
2420,"King County, WA",155
2421,"Kitsap County, WA",19
2422,"Kittitas County, WA",7
2423,"Klickitat County, WA",5
2424,"Lewis County, WA",7
2425,"Lincoln County, WA",1
2426,"Mason County, WA",6
2427,"Okanogan County, WA",5
2428,"Pacific County, WA",4
2429,"Pend Oreille County, WA",2
2430,"Pierce County, WA",74
2431,"San Juan County, WA",1
2432,"Skagit County, WA",27
2433,"Skamania County, WA",1
2434,"Snohomish County, WA",95
2435,"Spokane County, WA",44
2436,"Stevens County, WA",4
2437,"Thurston County, WA",30
2438,"Wahkiakum County, WA",1
2439,"Walla Walla County, WA",6
2440,"Whatcom County, WA",34
2441,"Whitman County, WA",6
2442,"Yakima County, WA",21
2443,"Adams County, WI",3
2444,"Ashland County, WI",4
2445,"Barron County, WI",3
2446,"Brown County, WI",19
2447,"Calumet County, WI",2
2448,"Chippewa County, WI",2
2449,"Columbia County, WI",2
2450,"Crawford County, WI",1
2451,"Dane County, WI",29
2452,"Dodge County, WI",2
2453,"Door County, WI",2
2454,"Douglas County, WI",2
2455,"Dunn County, WI",2
2456,"Eau Claire County, WI",4
2457,"Fond du Lac County, WI",7
2458,"Grant County, WI",1
2459,"Green County, WI",1
2460,"Jefferson County, WI",5
2461,"Juneau County, WI",1
2462,"Kenosha County, WI",13
2463,"La Crosse County, WI",5
2464,"Langlade County, WI",1
2465,"Lincoln County, WI",1
2466,"Manitowoc County, WI",4
2467,"Marathon County, WI",8
2468,"Marinette County, WI",3
2469,"Milwaukee County, WI",82
2470,"Monroe County, WI",1
2471,"Oconto County, WI",1
2472,"Oneida County, WI",2
2473,"Outagamie County, WI",7
2474,"Ozaukee County, WI",8
2475,"Portage County, WI",4
2476,"Price County, WI",1
2477,"Racine County, WI",13
2478,"Rock County, WI",8
2479,"Sauk County, WI",2
2480,"Sawyer County, WI",1
2481,"Shawano County, WI",1
2482,"Sheboygan County, WI",6
2483,"St. Croix County, WI",2
2484,"Vernon County, WI",1
2485,"Vilas County, WI",1
2486,"Walworth County, WI",4
2487,"Washington County, WI",6
2488,"Waukesha County, WI",39
2489,"Waupaca County, WI",2
2490,"Winnebago County, WI",8
2491,"Wood County, WI",5
2492,"Barbour County, WV",5
2493,"Berkeley County, WV",8
2494,"Boone County, WV",4
2495,"Braxton County, WV",4
2496,"Brooke County, WV",8
2497,"Cabell County, WV",21
2498,"Calhoun County, WV",2
2499,"Clay County, WV",2
2500,"Fayette County, WV",7
2501,"Gilmer County, WV",2
2502,"Grant County, WV",1
2503,"Greenbrier County, WV",5
2504,"Hampshire County, WV",2
2505,"Hancock County, WV",4
2506,"Hardy County, WV",2
2507,"Harrison County, WV",9
2508,"Jackson County, WV",3
2509,"Jefferson County, WV",8
2510,"Kanawha County, WV",34
2511,"Lewis County, WV",1
2512,"Lincoln County, WV",4
2513,"Logan County, WV",11
2514,"Marion County, WV",7
2515,"Marshall County, WV",4
2516,"Mason County, WV",1
2517,"McDowell County, WV",4
2518,"Mercer County, WV",8
2519,"Mineral County, WV",2
2520,"Mingo County, WV",1
2521,"Monongalia County, WV",11
2522,"Monroe County, WV",1
2523,"Morgan County, WV",1
2524,"Nicholas County, WV",4
2525,"Ohio County, WV",11
2526,"Pendleton County, WV",2
2527,"Pleasants County, WV",1
2528,"Pocahontas County, WV",3
2529,"Preston County, WV",1
2530,"Putnam County, WV",5
2531,"Raleigh County, WV",13
2532,"Randolph County, WV",3
2533,"Ritchie County, WV",2
2534,"Summers County, WV",3
2535,"Taylor County, WV",1
2536,"Tucker County, WV",1
2537,"Tyler County, WV",2
2538,"Upshur County, WV",3
2539,"Wayne County, WV",2
2540,"Wetzel County, WV",2
2541,"Wood County, WV",9
2542,"Wyoming County, WV",3
2543,"Albany County, WY",4
2544,"Big Horn County, WY",2
2545,"Campbell County, WY",6
2546,"Carbon County, WY",4
2547,"Converse County, WY",4
2548,"Crook County, WY",1
2549,"Fremont County, WY",7
2550,"Goshen County, WY",1
2551,"Hot Springs County, WY",3
2552,"Johnson County, WY",2
2553,"Laramie County, WY",12
2554,"Lincoln County, WY",3
2555,"Natrona County, WY",8
2556,"Niobrara County, WY",1
2557,"Park County, WY",5
2558,"Platte County, WY",1
2559,"Sheridan County, WY",5
2560,"Sublette County, WY",2
2561,"Sweetwater County, WY",6
2562,"Teton County, WY",3
2563,"Uinta County, WY",5
2564,"Washakie County, WY",2
2565,"Weston County, WY",2
