county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Moniteau County, MO",135,MO,Moniteau County,29,16132,15464,15484
"Monroe County, MO",137,MO,Monroe County,29,20733,8666,8712
"Montgomery County, MO",139,MO,Montgomery County,29,226486,11262,11415
"Morgan County, MO",141,MO,Morgan County,29,119679,20997,21379
"New Madrid County, MO",143,MO,New Madrid County,29,17076,16329,16035
"Newton County, MO",145,MO,Newton County,29,7753,58613,59386
"Nodaway County, MO",147,MO,Nodaway County,29,22092,21218,21160
"Oregon County, MO",149,MO,Oregon County,29,10529,8617,8631
"Osage County, MO",151,MO,Osage County,29,15949,13249,13379
"Ozark County, MO",153,MO,Ozark County,29,9174,8514,8782
"Pemiscot County, MO",155,MO,Pemiscot County,29,15805,15585,15236
"Perry County, MO",157,MO,Perry County,29,8923,18960,18922
"Pettis County, MO",159,MO,Pettis County,29,42339,42951,43188
"Phelps County, MO",161,MO,Phelps County,29,44573,44517,44937
"Pike County, MO",163,MO,Pike County,29,33114,17613,17761
"Platte County, MO",165,MO,Platte County,29,104418,107100,108569
"Polk County, MO",167,MO,Polk County,29,19964,31577,32043
"Pulaski County, MO",169,MO,Pulaski County,29,391911,53964,53816
"Putnam County, MO",171,MO,Putnam County,29,74521,4676,4712
"Ralls County, MO",173,MO,Ralls County,29,10309,10351,10361
"Randolph County, MO",175,MO,Randolph County,29,22722,24636,24760
"Ray County, MO",177,MO,Ray County,29,23018,23100,23008
"Reynolds County, MO",179,MO,Reynolds County,29,6270,6078,6087
"Ripley County, MO",181,MO,Ripley County,29,28324,10680,10617
"St. Charles County, MO",183,MO,St. Charles County,29,402022,406258,409981
"St. Clair County, MO",185,MO,St. Clair County,29,89512,9340,9376
"Ste. Genevieve County, MO",186,MO,Ste. Genevieve County,29,17894,18476,18588
"St. Francois County, MO",187,MO,St. Francois County,29,67215,66900,67541
"St. Louis County, MO",189,MO,St. Louis County,29,199070,1002838,997187
"Saline County, MO",195,MO,Saline County,29,122437,23319,23289
"Schuyler County, MO",197,MO,Schuyler County,29,6768,4007,4025
"Scotland County, MO",199,MO,Scotland County,29,4902,4698,4693
"Scott County, MO",201,MO,Scott County,29,10281,38009,37840
"Shannon County, MO",203,MO,Shannon County,29,8166,7041,7106
"Shelby County, MO",205,MO,Shelby County,29,217702,6101,5976
"Stoddard County, MO",207,MO,Stoddard County,29,29025,28652,28479
"Stone County, MO",209,MO,Stone County,29,12506,31175,31548
"Sullivan County, MO",211,MO,Sullivan County,29,20669,5976,5934
"Taney County, MO",213,MO,Taney County,29,55928,56020,56387
"Texas County, MO",215,MO,Texas County,29,25398,24413,24987
"Vernon County, MO",217,MO,Vernon County,29,20563,19642,19595
"Warren County, MO",219,MO,Warren County,29,5254,35707,36518
"Washington County, MO",221,MO,Washington County,29,16326,23499,23502
"Wayne County, MO",223,MO,Wayne County,29,29927,10913,10914
"Webster County, MO",225,MO,Webster County,29,2607,39168,39735
"Worth County, MO",227,MO,Worth County,29,20247,1962,1983
"Wright County, MO",229,MO,Wright County,29,12562,18180,18610
"St. Louis city, MO",510,MO,St. Louis city,29,300576,300528,293310
"Beaverhead County, MT",1,MT,Beaverhead County,30,9453,9372,9524
"Big Horn County, MT",3,MT,Big Horn County,30,13319,13051,12957
"Blaine County, MT",5,MT,Blaine County,30,23021,7002,6980
"Broadwater County, MT",7,MT,Broadwater County,30,6237,6846,7288
"Carbon County, MT",9,MT,Carbon County,30,10725,10512,10847
"Carter County, MT",11,MT,Carter County,30,26797,1413,1428
"Cascade County, MT",13,MT,Cascade County,30,81366,84328,84511
"Chouteau County, MT",15,MT,Chouteau County,30,5635,5899,5916
"Custer County, MT",17,MT,Custer County,30,5068,11859,11916
"Daniels County, MT",19,MT,Daniels County,30,1690,1658,1686
"Dawson County, MT",21,MT,Dawson County,30,26108,8922,8904
"Deer Lodge County, MT",23,MT,Deer Lodge County,30,9140,9413,9491
"Fallon County, MT",25,MT,Fallon County,30,2846,3033,3017
"Fergus County, MT",27,MT,Fergus County,30,11050,11457,11617
"Flathead County, MT",29,MT,Flathead County,30,103806,104773,108454
"Gallatin County, MT",31,MT,Gallatin County,30,4828,119502,122713
"Garfield County, MT",33,MT,Garfield County,30,60061,1172,1209
"Glacier County, MT",35,MT,Glacier County,30,13753,13747,13785
"Golden Valley County, MT",37,MT,Golden Valley County,30,821,820,831
"Granite County, MT",39,MT,Granite County,30,3379,3308,3344
"Hill County, MT",41,MT,Hill County,30,16484,16250,16179
"Jefferson County, MT",43,MT,Jefferson County,30,658573,12133,12470
"Judith Basin County, MT",45,MT,Judith Basin County,30,2007,2017,2044
"Lake County, MT",47,MT,Lake County,30,64386,31259,32033
"Lewis and Clark County, MT",49,MT,Lewis and Clark County,30,69432,71093,72223
"Liberty County, MT",51,MT,Liberty County,30,8354,1960,1946
"Lincoln County, MT",53,MT,Lincoln County,30,13024,19731,20525
"McCone County, MT",55,MT,McCone County,30,1664,1733,1718
"Madison County, MT",57,MT,Madison County,30,372909,8657,8917
"Meagher County, MT",59,MT,Meagher County,30,1862,1925,1964
"Mineral County, MT",61,MT,Mineral County,30,769,4565,4860
"Missoula County, MT",63,MT,Missoula County,30,119600,118238,119533
"Musselshell County, MT",65,MT,Musselshell County,30,4633,4747,4896
"Park County, MT",67,MT,Park County,30,18845,17193,17473
"Petroleum County, MT",69,MT,Petroleum County,30,487,498,519
"Phillips County, MT",71,MT,Phillips County,30,17782,4190,4192
"Pondera County, MT",73,MT,Pondera County,30,5911,5882,5994
"Powder River County, MT",75,MT,Powder River County,30,1682,1693,1702
"Powell County, MT",77,MT,Powell County,30,12359,6934,6999
"Prairie County, MT",79,MT,Prairie County,30,8062,1076,1091
"Ravalli County, MT",81,MT,Ravalli County,30,43806,44351,45959
"Richland County, MT",83,MT,Richland County,30,15513,11501,11283
"Roosevelt County, MT",85,MT,Roosevelt County,30,11004,10780,10821
"Rosebud County, MT",87,MT,Rosebud County,30,8937,8298,8124
"Sanders County, MT",89,MT,Sanders County,30,12113,12451,12959
"Sheridan County, MT",91,MT,Sheridan County,30,2521,3518,3527
"Silver Bow County, MT",93,MT,Silver Bow County,30,34915,35168,35411
"Stillwater County, MT",95,MT,Stillwater County,30,9642,9010,9044
"Sweet Grass County, MT",97,MT,Sweet Grass County,30,3737,3671,3723
"Teton County, MT",99,MT,Teton County,30,12142,6242,6269
"Toole County, MT",101,MT,Toole County,30,4736,4964,5011
"Treasure County, MT",103,MT,Treasure County,30,696,761,768
"Valley County, MT",105,MT,Valley County,30,11392,7551,7537
"Wheatland County, MT",107,MT,Wheatland County,30,2126,2093,2059
"Wibaux County, MT",109,MT,Wibaux County,30,969,928,934
"Yellowstone County, MT",111,MT,Yellowstone County,30,161300,165045,167146
"Adams County, NE",1,NE,Adams County,31,517421,31147,31027
"Antelope County, NE",3,NE,Antelope County,31,6298,6276,6279
"Arthur County, NE",5,NE,Arthur County,31,463,431,439
"Banner County, NE",7,NE,Banner County,31,745,683,692
"Blaine County, NE",9,NE,Blaine County,31,23021,431,461
"Boone County, NE",11,NE,Boone County,31,37432,5351,5386
"Box Butte County, NE",13,NE,Box Butte County,31,10783,10824,10604
"Boyd County, NE",15,NE,Boyd County,31,46718,1806,1789
"Brown County, NE",17,NE,Brown County,31,6578,2903,2908
"Buffalo County, NE",19,NE,Buffalo County,31,49659,50129,50339
"Burt County, NE",21,NE,Burt County,31,6459,6721,6709
"Butler County, NE",23,NE,Butler County,31,19448,8349,8444
"Cass County, NE",25,NE,Cass County,31,12147,26593,27017
"Cedar County, NE",27,NE,Cedar County,31,18627,8373,8330
"Chase County, NE",29,NE,Chase County,31,2648,3881,3826
"Cherry County, NE",31,NE,Cherry County,31,5689,5462,5458
"Cheyenne County, NE",33,NE,Cheyenne County,31,1831,9482,9529
"Clay County, NE",35,NE,Clay County,31,13235,6101,6078
"Colfax County, NE",37,NE,Colfax County,31,10709,10546,10498
"Cuming County, NE",39,NE,Cuming County,31,8846,9009,8984
"Custer County, NE",41,NE,Custer County,31,5068,10495,10460
"Dakota County, NE",43,NE,Dakota County,31,429021,21502,21241
"Dawes County, NE",45,NE,Dawes County,31,8589,8151,8148
"Dawson County, NE",47,NE,Dawson County,31,26108,24039,23898
"Deuel County, NE",49,NE,Deuel County,31,1794,1829,1865
"Dixon County, NE",51,NE,Dixon County,31,5636,5580,5545
"Dodge County, NE",53,NE,Dodge County,31,20605,37102,37103
"Douglas County, NE",55,NE,Douglas County,31,351154,585010,585008
"Dundy County, NE",57,NE,Dundy County,31,1693,1647,1635
"Fillmore County, NE",59,NE,Fillmore County,31,21067,5567,5546
"Franklin County, NE",61,NE,Franklin County,31,31362,2885,2903
"Frontier County, NE",63,NE,Frontier County,31,2627,2510,2555
"Furnas County, NE",65,NE,Furnas County,31,4676,4615,4604
"Gage County, NE",67,NE,Gage County,31,21513,21663,21616
"Garden County, NE",69,NE,Garden County,31,1837,1883,1847
"Garfield County, NE",71,NE,Garfield County,31,60061,1806,1839
"Gosper County, NE",73,NE,Gosper County,31,1990,1891,1824
"Grant County, NE",75,NE,Grant County,31,18265,611,579
"Greeley County, NE",77,NE,Greeley County,31,1232,2180,2169
"Hall County, NE",79,NE,Hall County,31,204441,62730,61979
"Hamilton County, NE",81,NE,Hamilton County,31,14428,9403,9386
"Harlan County, NE",83,NE,Harlan County,31,26010,3054,3091
"Hayes County, NE",85,NE,Hayes County,31,922,855,843
"Hitchcock County, NE",87,NE,Hitchcock County,31,2762,2610,2586
"Holt County, NE",89,NE,Holt County,31,4403,10083,10049
"Hooker County, NE",91,NE,Hooker County,31,682,707,734
"Howard County, NE",93,NE,Howard County,31,13202,6496,6531
"Jefferson County, NE",95,NE,Jefferson County,31,658573,7260,7176
"Johnson County, NE",97,NE,Johnson County,31,26578,5288,5316
"Kearney County, NE",99,NE,Kearney County,31,6495,6695,6674
"Keith County, NE",101,NE,Keith County,31,8034,8322,8279
"Keya Paha County, NE",103,NE,Keya Paha County,31,806,763,787
"Kimball County, NE",105,NE,Kimball County,31,3632,3401,3412
"Knox County, NE",107,NE,Knox County,31,49699,8383,8401
"Lancaster County, NE",109,NE,Lancaster County,31,319090,322910,324514
"Lincoln County, NE",111,NE,Lincoln County,31,13024,34551,34133
"Logan County, NE",113,NE,Logan County,31,21466,714,687
"Loup County, NE",115,NE,Loup County,31,664,606,604
"McPherson County, NE",117,NE,McPherson County,31,28542,396,379
"Madison County, NE",119,NE,Madison County,31,372909,35473,35337
"Merrick County, NE",121,NE,Merrick County,31,7755,7659,7665
"Morrill County, NE",123,NE,Morrill County,31,4642,4539,4574
"Nance County, NE",125,NE,Nance County,31,3519,3382,3390
"Nemaha County, NE",127,NE,Nemaha County,31,10231,7088,7064
"Nuckolls County, NE",129,NE,Nuckolls County,31,4148,4081,4060
"Otoe County, NE",131,NE,Otoe County,31,16012,15892,15930
"Pawnee County, NE",133,NE,Pawnee County,31,6414,2536,2548
"Perkins County, NE",135,NE,Perkins County,31,2891,2851,2832
"Phelps County, NE",137,NE,Phelps County,31,44573,8968,8937
"Pierce County, NE",139,NE,Pierce County,31,19465,7328,7313
"Platte County, NE",141,NE,Platte County,31,104418,34280,34241
"Polk County, NE",143,NE,Polk County,31,19964,5225,5174
"Red Willow County, NE",145,NE,Red Willow County,31,10724,10671,10623
"Richardson County, NE",147,NE,Richardson County,31,7865,7836,7759
"Rock County, NE",149,NE,Rock County,31,9315,1267,1264
"Saline County, NE",151,NE,Saline County,31,122437,14249,14192
"Sarpy County, NE",153,NE,Sarpy County,31,187196,191114,193418
"Saunders County, NE",155,NE,Saunders County,31,21578,22361,22787
"Scotts Bluff County, NE",157,NE,Scotts Bluff County,31,35618,36002,35745
"Seward County, NE",159,NE,Seward County,31,21428,17605,17603
"Sheridan County, NE",161,NE,Sheridan County,31,2521,5097,5095
"Sherman County, NE",163,NE,Sherman County,31,5917,2956,2964
"Sioux County, NE",165,NE,Sioux County,31,34855,1144,1143
"Stanton County, NE",167,NE,Stanton County,31,2006,5824,5816
"Thayer County, NE",169,NE,Thayer County,31,5003,5013,4913
"Thomas County, NE",171,NE,Thomas County,31,44451,671,673
"Thurston County, NE",173,NE,Thurston County,31,7224,6769,6620
"Valley County, NE",175,NE,Valley County,31,11392,4048,4066
"Washington County, NE",177,NE,Washington County,31,16326,20904,20969
"Wayne County, NE",179,NE,Wayne County,31,29927,9687,9784
"Webster County, NE",181,NE,Webster County,31,2607,3387,3411
"Wheeler County, NE",183,NE,Wheeler County,31,7855,773,795
"York County, NE",185,NE,York County,31,207641,14084,14244
"Churchill County, NV",1,NV,Churchill County,32,24909,25539,25723
"Clark County, NV",3,NV,Clark County,32,22320,2273386,2292476
"Douglas County, NV",5,NV,Douglas County,32,351154,49468,49870
"Elko County, NV",7,NV,Elko County,32,52778,53750,53915
"Esmeralda County, NV",9,NV,Esmeralda County,32,873,730,743
"Eureka County, NV",11,NV,Eureka County,32,2029,1847,1903
"Humboldt County, NV",13,NV,Humboldt County,32,135558,17283,17648
"Lander County, NV",15,NV,Lander County,32,5532,5725,5798
"Lincoln County, NV",17,NV,Lincoln County,32,13024,4502,4525
"Lyon County, NV",19,NV,Lyon County,32,11755,59431,60903
"Mineral County, NV",21,NV,Mineral County,32,769,4553,4586
"Nye County, NV",23,NV,Nye County,32,46523,51968,53450
"Pershing County, NV",27,NV,Pershing County,32,6725,6639,6741
"Storey County, NV",29,NV,Storey County,32,4123,4106,4143
"Washoe County, NV",31,NV,Washoe County,32,471519,487388,493392
"White Pine County, NV",33,NV,White Pine County,32,9580,9079,9182
"Carson City, NV",510,NV,Carson City,32,55916,58677,58993
"Belknap County, NH",1,NH,Belknap County,33,61303,63743,64460
"Carroll County, NH",3,NH,Carroll County,33,28380,50212,51500
"Cheshire County, NH",5,NH,Cheshire County,33,76085,76501,77329
"Coos County, NH",7,NH,Coos County,33,31563,31173,31289
"Grafton County, NH",9,NH,Grafton County,33,89886,91123,92201
"Hillsborough County, NH",11,NH,Hillsborough County,33,1471968,422705,424079
"Merrimack County, NH",13,NH,Merrimack County,33,151391,153922,155238
"Rockingham County, NH",15,NH,Rockingham County,33,309769,314430,316947
"Strafford County, NH",17,NH,Strafford County,33,130633,131006,132416
"Sullivan County, NH",19,NH,Sullivan County,33,20669,43033,43533
"Atlantic County, NJ",1,NJ,Atlantic County,34,263670,274191,274966
"Bergen County, NJ",3,NJ,Bergen County,34,932202,954774,953819
"Burlington County, NJ",5,NJ,Burlington County,34,445349,461862,464269
"Camden County, NJ",7,NJ,Camden County,34,54666,523204,523771
"Cape May County, NJ",9,NJ,Cape May County,34,92039,95077,95661
"Cumberland County, NJ",11,NJ,Cumberland County,34,10766,153848,153627
"Essex County, NJ",13,NJ,Essex County,34,789034,862032,854917
"Gloucester County, NJ",15,NJ,Gloucester County,34,291636,302607,304477
"Hudson County, NJ",17,NJ,Hudson County,34,672391,722655,702463
"Hunterdon County, NJ",19,NJ,Hunterdon County,34,124371,128839,129924
"Mercer County, NJ",21,NJ,Mercer County,34,15437,386759,385898
"Middlesex County, NJ",23,NJ,Middlesex County,34,162436,861908,860807
"Monmouth County, NJ",25,NJ,Monmouth County,34,618795,643163,645354
"Morris County, NJ",27,NJ,Morris County,34,5620,509001,510981
"Ocean County, NJ",29,NJ,Ocean County,34,607186,638824,648998
"Passaic County, NJ",31,NJ,Passaic County,34,501826,523100,518117
"Salem County, NJ",33,NJ,Salem County,34,62385,64859,65046
"Somerset County, NJ",35,NJ,Somerset County,34,50484,345014,345647
"Sussex County, NJ",37,NJ,Sussex County,34,234225,144082,145543
"Union County, NJ",39,NJ,Union County,34,38682,574349,572114
"Warren County, NJ",41,NJ,Warren County,34,5254,109595,110731
"Bernalillo County, NM",1,NM,Bernalillo County,35,679121,676581,674393
"Catron County, NM",3,NM,Catron County,35,3527,3612,3731
"Chaves County, NM",5,NM,Chaves County,35,64615,65168,64629
"Cibola County, NM",6,NM,Cibola County,35,26675,27076,27184
"Colfax County, NM",7,NM,Colfax County,35,10709,12332,12369
"Curry County, NM",9,NM,Curry County,35,48954,48325,47999
"De Baca County, NM",11,NM,De Baca County,35,1748,1678,1680
"Do�a Ana County, NM",13,NM,Do�a Ana County,35,218195,219899,221508
"Eddy County, NM",15,NM,Eddy County,35,58460,62257,60911
"Grant County, NM",17,NM,Grant County,35,18265,28209,27889
"Guadalupe County, NM",19,NM,Guadalupe County,35,4300,4447,4449
"Harding County, NM",21,NM,Harding County,35,625,660,639
"Hidalgo County, NM",23,NM,Hidalgo County,35,4198,4149,4074
"Lea County, NM",25,NM,Lea County,35,71070,74586,73004
"Lincoln County, NM",27,NM,Lincoln County,35,13024,20296,20436
"Los Alamos County, NM",28,NM,Los Alamos County,35,19369,19424,19330
"Luna County, NM",29,NM,Luna County,35,23709,25420,25532
"McKinley County, NM",31,NM,McKinley County,35,71367,72630,71780
"Mora County, NM",33,NM,Mora County,35,4521,4184,4196
"Otero County, NM",35,NM,Otero County,35,18278,67861,68537
"Quay County, NM",37,NM,Quay County,35,8253,8721,8656
"Rio Arriba County, NM",39,NM,Rio Arriba County,35,38921,40264,40179
"Roosevelt County, NM",41,NM,Roosevelt County,35,11004,19118,19019
"Sandoval County, NM",43,NM,Sandoval County,35,146748,149218,151369
"San Juan County, NM",45,NM,San Juan County,35,728,121429,120993
"San Miguel County, NM",47,NM,San Miguel County,35,8179,27115,27150
"Santa Fe County, NM",49,NM,Santa Fe County,35,150358,154977,155201
"Sierra County, NM",51,NM,Sierra County,35,3005,11526,11502
"Socorro County, NM",53,NM,Socorro County,35,16637,16565,16311
"Taos County, NM",55,NM,Taos County,35,32723,34392,34623
"Torrance County, NM",57,NM,Torrance County,35,15461,15051,15307
"Union County, NM",59,NM,Union County,35,38682,4067,4107
"Valencia County, NM",61,NM,Valencia County,35,76688,76329,77190
"Albany County, NY",1,NY,Albany County,36,305506,314368,313743
"Allegany County, NY",3,NY,Allegany County,36,70416,46373,46106
"Bronx County, NY",5,NY,Bronx County,36,1418207,1466438,1424948
"Broome County, NY",7,NY,Broome County,36,190488,198199,197240
"Cattaraugus County, NY",9,NY,Cattaraugus County,36,76117,76907,76426
"Cayuga County, NY",11,NY,Cayuga County,36,76576,76095,75880
"Chautauqua County, NY",13,NY,Chautauqua County,36,3250,127424,126807
"Chemung County, NY",15,NY,Chemung County,36,83456,83882,83045
"Chenango County, NY",17,NY,Chenango County,36,47207,47073,46537
"Clinton County, NY",19,NY,Clinton County,36,37562,79715,79596
"Columbia County, NY",21,NY,Columbia County,36,23457,61550,61778
"Cortland County, NY",23,NY,Cortland County,36,47581,46723,46311
"Delaware County, NY",25,NY,Delaware County,36,114135,44186,44378
"Dutchess County, NY",27,NY,Dutchess County,36,294218,295742,297112
"Erie County, NY",29,NY,Erie County,36,918702,953254,950683
"Essex County, NY",31,NY,Essex County,36,789034,37336,37268
"Franklin County, NY",33,NY,Franklin County,36,31362,47527,47456
"Fulton County, NY",35,NY,Fulton County,36,12477,53160,53116
"Genesee County, NY",37,NY,Genesee County,36,405813,58258,57853
"Greene County, NY",39,NY,Greene County,36,8111,47890,48499
"Hamilton County, NY",41,NY,Hamilton County,36,14428,5078,5119
"Herkimer County, NY",43,NY,Herkimer County,36,61319,60007,59937
"Jefferson County, NY",45,NY,Jefferson County,36,658573,116134,116295
"Kings County, NY",47,NY,Kings County,36,152940,2727393,2641052
"Lewis County, NY",49,NY,Lewis County,36,3838,26538,26573
"Livingston County, NY",51,NY,Livingston County,36,35648,61699,61578
"Madison County, NY",53,NY,Madison County,36,372909,67890,67658
"Monroe County, NY",55,NY,Monroe County,36,20733,758554,755160
"Montgomery County, NY",57,NY,Montgomery County,36,226486,49433,49558
"Nassau County, NY",59,NY,Nassau County,36,88625,1393978,1390907
"New York County, NY",61,NY,New York County,36,1628706,1687834,1576876
"Niagara County, NY",63,NY,Niagara County,36,209281,212252,211653
"Oneida County, NY",65,NY,Oneida County,36,4531,231695,230274
"Onondaga County, NY",67,NY,Onondaga County,36,460528,475653,473236
"Ontario County, NY",69,NY,Ontario County,36,109777,112475,112508
"Orange County, NY",71,NY,Orange County,36,3175692,401322,404525
"Orleans County, NY",73,NY,Orleans County,36,40352,40236,40191
"Oswego County, NY",75,NY,Oswego County,36,117124,117351,117387
"Otsego County, NY",77,NY,Otsego County,36,24668,58351,58123
"Putnam County, NY",79,NY,Putnam County,36,74521,97660,97936
"Queens County, NY",81,NY,Queens County,36,2253858,2395791,2331143
"Rensselaer County, NY",83,NY,Rensselaer County,36,158714,160923,160232
"Richmond County, NY",85,NY,Richmond County,36,202518,495522,493494
"Rockland County, NY",87,NY,Rockland County,36,325789,338121,339227
"St. Lawrence County, NY",89,NY,St. Lawrence County,36,107740,108311,108051
"Saratoga County, NY",91,NY,Saratoga County,36,229863,235689,237359
"Schenectady County, NY",93,NY,Schenectady County,36,155299,157861,158089
"Schoharie County, NY",95,NY,Schoharie County,36,30999,29720,29863
"Schuyler County, NY",97,NY,Schuyler County,36,6768,17857,17752
"Seneca County, NY",99,NY,Seneca County,36,34016,33715,33688
"Steuben County, NY",101,NY,Steuben County,36,34594,93363,92948
"Suffolk County, NY",103,NY,Suffolk County,36,803907,1524099,1526344
"Sullivan County, NY",105,NY,Sullivan County,36,20669,78643,79806
"Tioga County, NY",107,NY,Tioga County,36,48203,48355,47980
"Tompkins County, NY",109,NY,Tompkins County,36,102180,105404,105162
"Ulster County, NY",111,NY,Ulster County,36,177573,181687,182951
"Warren County, NY",113,NY,Warren County,36,5254,65638,65618
"Washington County, NY",115,NY,Washington County,36,16326,61143,60956
"Wayne County, NY",117,NY,Wayne County,36,29927,91103,90923
"Westchester County, NY",119,NY,Westchester County,36,967506,1003245,997895
"Wyoming County, NY",121,NY,Wyoming County,36,39859,40401,40491
"Yates County, NY",123,NY,Yates County,36,24913,24709,24613
"Alamance County, NC",1,NC,Alamance County,37,169509,171842,173877
"Alexander County, NC",3,NC,Alexander County,37,5761,36430,36644
"Alleghany County, NC",5,NC,Alleghany County,37,11137,10899,11049
"Anson County, NC",7,NC,Anson County,37,24446,22030,22060
"Ashe County, NC",9,NC,Ashe County,37,27203,26569,26711
"Avery County, NC",11,NC,Avery County,37,17557,17798,17864
"Beaufort County, NC",13,NC,Beaufort County,37,46994,44618,44468
"Bertie County, NC",15,NC,Bertie County,37,18947,17851,17505
"Bladen County, NC",17,NC,Bladen County,37,32722,29599,29525
"Brunswick County, NC",19,NC,Brunswick County,37,142820,138084,144215
"Buncombe County, NC",21,NC,Buncombe County,37,261191,269621,271534
"Burke County, NC",23,NC,Burke County,37,22383,87546,87611
"Cabarrus County, NC",25,NC,Cabarrus County,37,216453,227065,231278
"Caldwell County, NC",27,NC,Caldwell County,37,12747,80512,80463
"Camden County, NC",29,NC,Camden County,37,54666,10398,10835
"Carteret County, NC",31,NC,Carteret County,37,69473,67656,68541
"Caswell County, NC",33,NC,Caswell County,37,22604,22694,22714
"Catawba County, NC",35,NC,Catawba County,37,159551,160747,161723
"Chatham County, NC",37,NC,Chatham County,37,289430,76611,77889
"Cherokee County, NC",39,NC,Cherokee County,37,26196,28833,29167
"Chowan County, NC",41,NC,Chowan County,37,13943,13666,13722
"Clay County, NC",43,NC,Clay County,37,13235,11118,11309
"Cleveland County, NC",45,NC,Cleveland County,37,7956,99725,100359
"Columbus County, NC",47,NC,Columbus County,37,55508,50505,50092
"Craven County, NC",49,NC,Craven County,37,102139,100552,100674
"Cumberland County, NC",51,NC,Cumberland County,37,10766,334370,335508
"Currituck County, NC",53,NC,Currituck County,37,27763,28385,29653
"Dare County, NC",55,NC,Dare County,37,37009,37001,37826
"Davidson County, NC",57,NC,Davidson County,37,167609,169131,170637
"Davie County, NC",59,NC,Davie County,37,42846,42806,43533
"Duplin County, NC",61,NC,Duplin County,37,58741,48675,48515
"Durham County, NC",63,NC,Durham County,37,321488,325602,326126
"Edgecombe County, NC",65,NC,Edgecombe County,37,51472,48697,48359
"Forsyth County, NC",67,NC,Forsyth County,37,244252,382733,385523
"Franklin County, NC",69,NC,Franklin County,37,31362,69060,71703
"Gaston County, NC",71,NC,Gaston County,37,224529,228269,230856
"Gates County, NC",73,NC,Gates County,37,11562,10452,10366
"Graham County, NC",75,NC,Graham County,37,38837,8016,8043
"Granville County, NC",77,NC,Granville County,37,60443,61041,61986
"Greene County, NC",79,NC,Greene County,37,8111,20444,20417
"Guilford County, NC",81,NC,Guilford County,37,537174,541347,542410
"Halifax County, NC",83,NC,Halifax County,37,50010,48495,48272
"Harnett County, NC",85,NC,Harnett County,37,135976,133761,135966
"Haywood County, NC",87,NC,Haywood County,37,62317,62131,62476
"Henderson County, NC",89,NC,Henderson County,37,6646,116493,116829
"Hertford County, NC",91,NC,Hertford County,37,23677,21451,21278
"Hoke County, NC",93,NC,Hoke County,37,55234,52223,53114
"Hyde County, NC",95,NC,Hyde County,37,4937,4549,4508
"Iredell County, NC",97,NC,Iredell County,37,181806,187630,191968
"Jackson County, NC",99,NC,Jackson County,37,51626,43134,43410
"Johnston County, NC",101,NC,Johnston County,37,209339,217612,226504
"Jones County, NC",103,NC,Jones County,37,28735,9156,9255
"Lee County, NC",105,NC,Lee County,37,164542,63387,64138
"Lenoir County, NC",107,NC,Lenoir County,37,55949,54995,54706
"Lincoln County, NC",109,NC,Lincoln County,37,13024,87190,89670
"McDowell County, NC",111,NC,McDowell County,37,45756,44536,44717
"Macon County, NC",113,NC,Macon County,37,18068,37049,37564
"Madison County, NC",115,NC,Madison County,37,372909,21209,21502
"Martin County, NC",117,NC,Martin County,37,161000,21949,21754
"Mecklenburg County, NC",119,NC,Mecklenburg County,37,1110356,1118340,1122276
"Mitchell County, NC",121,NC,Mitchell County,37,21863,14881,14963
"Montgomery County, NC",123,NC,Montgomery County,37,226486,25720,25798
"Moore County, NC",125,NC,Moore County,37,100880,100168,102763
"Nash County, NC",127,NC,Nash County,37,94298,95027,95176
"New Hanover County, NC",129,NC,New Hanover County,37,234473,226060,229018
"Northampton County, NC",131,NC,Northampton County,37,19483,17438,17129
"Onslow County, NC",133,NC,Onslow County,37,197938,204735,206160
"Orange County, NC",135,NC,Orange County,37,3175692,148792,148884
"Pamlico County, NC",137,NC,Pamlico County,37,12726,12280,12344
"Pasquotank County, NC",139,NC,Pasquotank County,37,39824,40645,40821
"Pender County, NC",141,NC,Pender County,37,63060,60563,62815
"Perquimans County, NC",143,NC,Perquimans County,37,13463,12997,13130
"Person County, NC",145,NC,Person County,37,39490,39146,39127
"Pitt County, NC",147,NC,Pitt County,37,180742,170570,172169
"Polk County, NC",149,NC,Polk County,37,19964,19372,19656
"Randolph County, NC",151,NC,Randolph County,37,22722,144334,145172
"Richmond County, NC",153,NC,Richmond County,37,202518,42879,42724
"Robeson County, NC",155,NC,Robeson County,37,130625,116361,116328
"Rockingham County, NC",157,NC,Rockingham County,37,309769,91080,91266
"Rowan County, NC",159,NC,Rowan County,37,24460,147027,148150
"Rutherford County, NC",161,NC,Rutherford County,37,67029,64421,64586
"Sampson County, NC",163,NC,Sampson County,37,63531,59021,58990
"Scotland County, NC",165,NC,Scotland County,37,4902,34110,34227
"Stanly County, NC",167,NC,Stanly County,37,62806,62609,63425
"Stokes County, NC",169,NC,Stokes County,37,45591,44517,44553
"Surry County, NC",171,NC,Surry County,37,71783,71253,71152
"Swain County, NC",173,NC,Swain County,37,14271,14083,14136
"Transylvania County, NC",175,NC,Transylvania County,37,34385,33009,33165
"Tyrrell County, NC",177,NC,Tyrrell County,37,4016,3232,3254
"Union County, NC",179,NC,Union County,37,38682,239287,243648
"Vance County, NC",181,NC,Vance County,37,44535,42529,42185
"Wake County, NC",183,NC,Wake County,37,1111761,1133553,1150204
