county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Cross County, AR",37,AR,Cross County,5,16419,16762,16681
"Dallas County, AR",39,AR,Dallas County,5,37196,6445,6308
"Desha County, AR",41,AR,Desha County,5,11361,11330,11090
"Drew County, AR",43,AR,Drew County,5,18219,17309,17110
"Faulkner County, AR",45,AR,Faulkner County,5,126007,123666,125106
"Franklin County, AR",47,AR,Franklin County,5,31362,17122,17173
"Fulton County, AR",49,AR,Fulton County,5,12477,12033,12145
"Garland County, AR",51,AR,Garland County,5,99386,100162,100330
"Grant County, AR",53,AR,Grant County,5,18265,17975,18090
"Greene County, AR",55,AR,Greene County,5,8111,45818,46317
"Hempstead County, AR",57,AR,Hempstead County,5,21532,19993,19694
"Hot Spring County, AR",59,AR,Hot Spring County,5,33771,33034,33148
"Howard County, AR",61,AR,Howard County,5,13202,12755,12698
"Independence County, AR",63,AR,Independence County,5,37825,37892,37723
"Izard County, AR",65,AR,Izard County,5,13629,13576,13911
"Jackson County, AR",67,AR,Jackson County,5,51626,16737,16811
"Jefferson County, AR",69,AR,Jefferson County,5,658573,66811,65861
"Johnson County, AR",71,AR,Johnson County,5,26578,25692,25845
"Lafayette County, AR",73,AR,Lafayette County,5,6624,6294,6163
"Lawrence County, AR",75,AR,Lawrence County,5,32924,16196,16292
"Lee County, AR",77,AR,Lee County,5,164542,8529,8619
"Lincoln County, AR",79,AR,Lincoln County,5,13024,12879,13037
"Little River County, AR",81,AR,Little River County,5,12259,11971,11944
"Logan County, AR",83,AR,Logan County,5,21466,21097,21215
"Lonoke County, AR",85,AR,Lonoke County,5,73309,74042,74722
"Madison County, AR",87,AR,Madison County,5,372909,16551,16960
"Marion County, AR",89,AR,Marion County,5,29709,16862,16978
"Miller County, AR",91,AR,Miller County,5,43257,42570,42649
"Mississippi County, AR",93,AR,Mississippi County,5,40651,40503,39661
"Monroe County, AR",95,AR,Monroe County,5,20733,6765,6683
"Montgomery County, AR",97,AR,Montgomery County,5,226486,8459,8611
"Nevada County, AR",99,AR,Nevada County,5,8252,8284,8187
"Newton County, AR",101,AR,Newton County,5,7753,7198,7204
"Ouachita County, AR",103,AR,Ouachita County,5,23382,22592,22306
